"UUID","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"60a0a315-717b-4892-b01c-6172b6f1a00b","Wickmauga","char-offset:345161","PLACE","","","","","","UNVERIFIED","",""
"da41bb3d-f40c-44ce-93c7-fa07f1ea75b5","Paris","char-offset:345415","PLACE","http://pleiades.stoa.org/places/109126","Lutetia|Lutetia/Parisius, Paris|Paris","48.852964","2.349952","amphitheatre,bath,settlement","UNVERIFIED","",""
"4c5fab0a-b9e4-4f8d-b341-96daeb2620a6","St. Bartholemew","char-offset:345441","PLACE","","","","","","UNVERIFIED","",""
"49c51c60-f248-43ca-9984-221de375f524","Paris","char-offset:346176","PLACE","http://pleiades.stoa.org/places/109126","Lutetia|Lutetia/Parisius, Paris|Paris","48.852964","2.349952","amphitheatre,bath,settlement","UNVERIFIED","",""
"90785b87-e797-4323-b029-c7ca63cf4872","London","char-offset:346217","PLACE","http://sws.geonames.org/2643743","London","51.50853","-0.12574","","UNVERIFIED","",""
"0ea4bf0d-3670-4572-82e7-ddfc4fe9f4b3","Lerici","char-offset:346467","PLACE","http://sws.geonames.org/3174856","Lerici","44.07587","9.91121","","UNVERIFIED","",""
"fc8fb2b4-bc30-4238-b491-57dcb8cdae86","Rome","char-offset:346717","PLACE","http://pleiades.stoa.org/places/423025","Roma|Roma, Roma|Rome","41.89262","12.4843457","settlement,urban","UNVERIFIED","",""
"ab3cac7a-ad68-47e1-838b-1676c9fe6500","Hawthornden","char-offset:347322","PLACE","","","","","","UNVERIFIED","",""
"b8c02495-582a-42eb-b47f-1741633349fd","Cambridge","char-offset:348214","PLACE","http://sws.geonames.org/2172677","Cambridge","-42.83333","147.45","","UNVERIFIED","",""
"a30a4002-e231-41bc-96fb-dbacdb505787","England","char-offset:349436","PLACE","http://sws.geonames.org/6269131","England","","","","UNVERIFIED","",""
"d72798c9-0d83-4d87-ae94-fab4ea887c8f","Cape Coast Castle","char-offset:349842","PLACE","http://sws.geonames.org/2302357","Cape Coast","5.10535","-1.2466","","UNVERIFIED","",""
"42cd02df-3b01-4181-aeab-dfe7a39a6400","Truro","char-offset:350210","PLACE","http://sws.geonames.org/2635412","Truro","50.26526","-5.05436","","UNVERIFIED","",""
"0060bb1b-ea90-47e5-bde6-51d82355ea9a","Gold Coast","char-offset:350409","PLACE","http://sws.geonames.org/2165087","Gold Coast","-28.00029","153.43088","","UNVERIFIED","",""
"8a47b050-0072-4dd7-8403-779fe6c381a3","Padua","char-offset:350728","PLACE","http://pleiades.stoa.org/places/393473","Patavium|Patavium, Padova|Padova","45.4096","11.8766","amphitheatre,settlement","UNVERIFIED","",""
"b6848d92-f944-4399-b62c-bca03e6160e6","Dover","char-offset:350800","PLACE","http://sws.geonames.org/2651048","Dover","51.13333","1.3","","UNVERIFIED","",""
"4e7e2d95-7f83-476b-9d77-cdb9e9813730","Pomeroy Castle","char-offset:351100","PLACE","","","","","","UNVERIFIED","",""
"8c549c61-0161-4171-a183-1b9764d3d8d2","Brook Street","char-offset:351343","PLACE","","","","","","UNVERIFIED","",""
"6273dd61-80f6-4c94-b846-a78d6ad48ff4","India","char-offset:351410","PLACE","http://pleiades.stoa.org/places/50004","India","22.5","77.5","region","UNVERIFIED","",""
"8331a3fc-47c5-4c8c-902b-358f0e5f73c6","Cherbury","char-offset:351654","PLACE","","","","","","UNVERIFIED","",""
"395cbc4c-0b87-488a-8bcc-d8cd7080d53d","Oberlin","char-offset:352462","PLACE","http://sws.geonames.org/5165445","Oberlin","41.29394","-82.21738","","UNVERIFIED","",""
"2b3b200a-ffed-4370-b25d-a9790dd9af45","Yorkshire","char-offset:352653","PLACE","http://sws.geonames.org/5145250","Yorkshire","42.53006","-78.4728","","UNVERIFIED","",""
"935d39cb-7f04-49be-a7e3-32b326756cc6","Malta","char-offset:352831","PLACE","http://sws.geonames.org/2562770","Malta","35.917829924483016","14.404920241372013","","UNVERIFIED","",""
"b085179c-41f8-4cc6-a19f-94cef390fd91","St. Augustine","char-offset:353307","PLACE","http://sws.geonames.org/4170894","Saint Augustine","29.89469","-81.31452","","UNVERIFIED","",""
"1334c22d-8fdb-40aa-8f44-f46f27d28ca6","St. Augustine","char-offset:353323","PLACE","http://sws.geonames.org/4170894","Saint Augustine","29.89469","-81.31452","","UNVERIFIED","",""
"902cbb55-aa87-474f-abb6-bf93d9500baa","St. Benedict","char-offset:353398","PLACE","","","","","","UNVERIFIED","",""
"1e44fbcf-934e-4b13-948e-5b5bf485e41a","St. Basil","char-offset:353588","PLACE","","","","","","UNVERIFIED","",""
"ca721ffc-8f67-4330-a10a-b9c5e3789cd4","St. Benedict","char-offset:353627","PLACE","","","","","","UNVERIFIED","",""
"b3cf9b2e-0ca1-474a-8064-39d66c81f99b","St. Germanus","char-offset:353676","PLACE","","","","","","UNVERIFIED","",""
"430d9417-35a8-4052-a00d-d543efbc5918","Capua","char-offset:353700","PLACE","http://pleiades.stoa.org/places/432763","Casilinum|Casilinum, Capua|Capua|Capua, Santa Maria Capua Vetere|Capua","41.1061258","14.2130486","arch,amphitheatre,settlement","UNVERIFIED","",""
"06f8964c-9603-48a4-a519-05dfdd6e7dca","St. Augustine","char-offset:353735","PLACE","http://sws.geonames.org/4170894","Saint Augustine","29.89469","-81.31452","","UNVERIFIED","",""
"2af89207-ef84-49bf-bf73-955dd9fda8f7","St. Edmund","char-offset:353753","PLACE","http://pleiades.stoa.org/places/79735","Venta|Venta, Caistor St Edmund","52.581356","1.287468","settlement","UNVERIFIED","",""
"070e2fd0-5215-4739-a93c-ee0763418287","Canterbury","char-offset:353780","PLACE","http://sws.geonames.org/2192628","Canterbury","-43.5751123784184","171.5557410649946","","UNVERIFIED","",""
"f24708de-0d65-40e1-83d0-2e94f52beae9","St. Columba","char-offset:353986","PLACE","","","","","","UNVERIFIED","",""
"bafa0281-9ec5-4bc0-9f8b-1d8f08d4d995","Mme.","char-offset:354407","PLACE","http://sws.geonames.org/2226441","Mme-Bafumen","6.33333","10.23333","","UNVERIFIED","",""
"ef4172cc-1256-45c9-86b7-71b9ae836f94","Holland House","char-offset:354667","PLACE","","","","","","UNVERIFIED","",""
"3e01a249-266e-4b61-87bd-fc5f59a76b19","Gloucester","char-offset:354864","PLACE","http://sws.geonames.org/2165159","Gloucester","-32.0077","151.9633","","UNVERIFIED","",""
"f8a398df-ba9a-4d8e-96f9-9525229ab3c8","Ireland","char-offset:355829","PLACE","http://sws.geonames.org/2963597","Ireland","53.183653722755","-8.146716125232045","","UNVERIFIED","",""
"1a3d6c8a-6c16-4ba3-90af-8ad356061933","Maidstone","char-offset:356319","PLACE","http://dare.ht.lu.se/places/25640","Maidstone","51.265455","0.52952","","UNVERIFIED","",""
"f3955ce7-4cc3-4139-b60e-9c7182447697","Paris","char-offset:356847","PLACE","http://pleiades.stoa.org/places/109126","Lutetia|Lutetia/Parisius, Paris|Paris","48.852964","2.349952","amphitheatre,bath,settlement","UNVERIFIED","",""
"42dc4a31-8374-4072-afee-eb2508ff0aa4","Flanders","char-offset:356898","PLACE","http://sws.geonames.org/3337388","Flanders","","","","UNVERIFIED","",""
